year,month,casual,registered
2011,1,3073,35116
2011,2,6242,41973
2011,3,12826,51219
2011,4,22346,72524
2011,5,31050,104771
2011,6,30612,112900
2011,7,36452,104889
2011,8,28842,107849
2011,9,26545,100873
2011,10,25222,98289
2011,11,15594,86573
2011,12,8448,78875
2012,1,8969,87775
2012,2,8721,94416
2012,3,31618,133257
2012,4,38456,135768
2012,5,44235,151630
2012,6,43294,159536
2012,7,41705,161902
2012,8,43197,171306
2012,9,43778,174795
2012,10,34538,164303
2012,11,21009,131655
2012,12,13245,110468
